datetime	CPU [%]	Memory [GB]
10:57:02 02/06/2021	1680.1	30.7936
10:57:20 02/06/2021	2249.2	32.4484
10:57:38 02/06/2021	1747.45	33.5596
10:57:56 02/06/2021	1822.35	34.591
10:58:14 02/06/2021	2067.1	35.4455
10:58:32 02/06/2021	1787.35	36.175
10:58:50 02/06/2021	2256.7	36.8172
10:59:08 02/06/2021	1857.2	37.4444
10:59:26 02/06/2021	1987.05	38.0574
10:59:44 02/06/2021	1934.6	38.6717
11:00:02 02/06/2021	1909.85	39.232
11:00:20 02/06/2021	1812.3	39.84
11:00:38 02/06/2021	1780.0	40.4068
11:00:56 02/06/2021	1822.25	40.9224
11:01:14 02/06/2021	2146.85	41.3671
11:01:32 02/06/2021	1904.75	41.8538
11:01:50 02/06/2021	1675.1	42.25
11:02:08 02/06/2021	1914.55	42.6632
11:02:26 02/06/2021	1857.35	43.0489
11:02:44 02/06/2021	1949.65	43.496
11:03:02 02/06/2021	1650.1	43.8557
11:03:21 02/06/2021	1675.0	44.2754
11:03:39 02/06/2021	1879.7	44.6685
11:03:57 02/06/2021	1889.65	45.044
11:04:15 02/06/2021	1657.65	45.4413
11:04:33 02/06/2021	1964.55	45.8126
11:04:51 02/06/2021	1792.5	46.0062
11:05:09 02/06/2021	1749.65	46.1539
11:05:27 02/06/2021	1680.0	46.3438
11:05:45 02/06/2021	1997.05	46.482
11:06:03 02/06/2021	1777.4	46.5865
11:06:21 02/06/2021	2024.55	46.7177
11:06:39 02/06/2021	1782.4	46.8469
11:06:57 02/06/2021	1897.4	46.9706
11:07:15 02/06/2021	1909.8	47.092
11:07:33 02/06/2021	1782.15	47.1976
11:07:51 02/06/2021	1695.05	47.2948
11:08:10 02/06/2021	1829.8	47.2711
11:08:28 02/06/2021	1720.1	47.2176
11:08:46 02/06/2021	1700.05	47.2449
11:09:04 02/06/2021	1971.85	47.1941
11:09:22 02/06/2021	1886.85	47.1264
11:09:39 02/06/2021	1934.75	46.9052
11:09:57 02/06/2021	1720.0	46.6676
11:10:15 02/06/2021	1799.95	46.4221
11:10:33 02/06/2021	1737.5	46.156
11:10:51 02/06/2021	1729.95	45.8705
11:11:09 02/06/2021	1937.0	45.6517
11:11:27 02/06/2021	1767.4	45.3774
11:11:45 02/06/2021	1702.6	45.1819
11:12:04 02/06/2021	1754.8	44.9538
11:12:22 02/06/2021	1817.25	44.7506
11:12:40 02/06/2021	1590.1	44.4721
11:12:58 02/06/2021	1947.2	44.2186
11:13:16 02/06/2021	1677.5	44.0175
11:13:34 02/06/2021	1762.5	43.7644
11:13:52 02/06/2021	1627.75	43.5713
11:14:10 02/06/2021	1957.3	43.3964
11:14:28 02/06/2021	1714.95	43.1987
11:14:46 02/06/2021	1789.8	42.9763
11:15:04 02/06/2021	1597.55	42.8628
11:15:22 02/06/2021	2036.95	42.6814
11:15:40 02/06/2021	1832.3	42.4837
11:15:58 02/06/2021	1807.4	42.2092
11:16:16 02/06/2021	2334.05	41.9223
11:16:34 02/06/2021	2116.85	41.7093
11:16:53 02/06/2021	1767.4	41.4615
11:17:11 02/06/2021	1784.9	41.1839
11:17:29 02/06/2021	1699.95	41.0004
11:17:47 02/06/2021	1817.4	40.755
11:18:05 02/06/2021	1919.6	40.5502
11:18:23 02/06/2021	1864.65	40.3771
11:18:41 02/06/2021	1952.15	40.2214
11:18:59 02/06/2021	1729.9	40.0337
11:19:17 02/06/2021	1792.35	39.8064
11:19:35 02/06/2021	1652.55	39.5496
11:19:53 02/06/2021	1817.35	39.3751
11:20:11 02/06/2021	1697.5	39.3138
11:20:29 02/06/2021	1764.75	39.2648
11:20:47 02/06/2021	1847.3	39.1017
11:21:05 02/06/2021	1655.05	38.902
11:21:23 02/06/2021	1814.9	38.6855
11:21:41 02/06/2021	1807.35	38.6219
11:21:59 02/06/2021	1744.95	38.6381
11:22:17 02/06/2021	2064.4	38.6998
11:22:36 02/06/2021	1690.0	38.6216
11:22:54 02/06/2021	1762.45	38.4513
11:23:12 02/06/2021	1710.1	38.2628
11:23:30 02/06/2021	1717.45	38.209
11:23:48 02/06/2021	1772.45	38.3119
11:24:06 02/06/2021	1757.45	38.2413
11:24:24 02/06/2021	1999.5	38.1153
11:24:42 02/06/2021	1966.9	38.0619
11:25:00 02/06/2021	1744.95	38.1221
11:25:18 02/06/2021	1652.6	38.2096
11:25:36 02/06/2021	1689.95	38.301
11:25:54 02/06/2021	1740.0	38.1896
11:26:12 02/06/2021	1834.85	37.9845
11:26:30 02/06/2021	1772.35	37.8568
11:26:48 02/06/2021	1834.95	37.7315
11:27:06 02/06/2021	1967.1	37.6607
11:27:24 02/06/2021	1929.7	37.5683
11:27:42 02/06/2021	2479.0	37.4643
11:28:00 02/06/2021	2074.45	37.4339
11:28:19 02/06/2021	1747.35	37.4683
11:28:37 02/06/2021	2206.75	37.5482
11:28:55 02/06/2021	2009.55	37.7657
11:29:13 02/06/2021	1899.75	37.9147
11:29:31 02/06/2021	1922.2	37.8859
11:29:49 02/06/2021	1839.8	37.9619
11:30:07 02/06/2021	1769.9	38.0365
11:30:25 02/06/2021	1914.6	37.9655
11:30:43 02/06/2021	1832.35	37.8164
11:31:01 02/06/2021	1784.9	37.8422
11:31:19 02/06/2021	1712.45	38.0743
11:31:37 02/06/2021	1814.75	38.2508
11:31:55 02/06/2021	1857.3	38.3435
11:32:13 02/06/2021	1922.2	38.3619
11:32:31 02/06/2021	1675.05	38.2396
11:32:49 02/06/2021	1827.35	37.9923
11:33:07 02/06/2021	1832.35	37.926
11:33:25 02/06/2021	1852.1	38.0968
11:33:43 02/06/2021	1832.25	38.2786
11:34:01 02/06/2021	1652.6	38.357
11:34:19 02/06/2021	1929.65	38.4426
11:34:38 02/06/2021	1822.3	38.4661
11:34:56 02/06/2021	1907.2	38.2507
11:35:14 02/06/2021	1842.2	38.0271
11:35:32 02/06/2021	1952.0	37.7933
11:35:50 02/06/2021	1779.85	37.6819
11:36:08 02/06/2021	1879.8	37.8503
11:36:26 02/06/2021	1792.4	37.9884
11:36:44 02/06/2021	1732.45	38.1901
11:37:02 02/06/2021	1949.6	38.365
11:37:20 02/06/2021	2047.05	38.3882
11:37:38 02/06/2021	2031.95	38.467
11:37:56 02/06/2021	1892.25	38.5853
11:38:14 02/06/2021	1677.6	38.7457
11:38:32 02/06/2021	1822.35	38.7632
11:38:50 02/06/2021	1932.05	38.6631
11:39:08 02/06/2021	1934.7	38.6939
11:39:26 02/06/2021	1759.95	38.7133
11:39:44 02/06/2021	1949.85	38.7807
11:40:02 02/06/2021	1797.3	38.709
11:40:20 02/06/2021	1962.05	38.6986
11:40:38 02/06/2021	1827.2	38.6716
11:40:57 02/06/2021	1717.5	38.7305
11:41:15 02/06/2021	1971.95	38.7092
11:41:33 02/06/2021	1849.8	38.9965
11:41:51 02/06/2021	1984.6	39.2506
11:42:09 02/06/2021	2084.4	39.3943
11:42:27 02/06/2021	1887.25	39.4557
11:42:45 02/06/2021	1934.75	39.3898
11:43:03 02/06/2021	1877.2	39.2111
11:43:21 02/06/2021	1712.45	39.256
11:43:39 02/06/2021	2017.1	39.4777
11:43:57 02/06/2021	1802.35	39.7147
11:44:15 02/06/2021	1857.35	40.0022
11:44:33 02/06/2021	2004.4	40.1368
11:44:51 02/06/2021	1754.95	40.1761
11:45:09 02/06/2021	1625.15	40.2626
11:45:27 02/06/2021	2064.5	40.4581
11:45:45 02/06/2021	1877.15	40.6919
11:46:03 02/06/2021	1702.6	40.8629
11:46:22 02/06/2021	1799.7	41.1047
11:46:40 02/06/2021	2104.35	41.3717
11:46:58 02/06/2021	1794.9	41.6559
11:47:16 02/06/2021	1642.6	41.9004
